Catalogue No.,Lot Number,Artist Name 1,Title,Handwritten Note,Object Type,Object Notes,Inscription,Seller,Transaction,Buyer,Lot Notes,Previous Owner,Previous Sales,Post Owner,Post Sales,Present Location,Sale Date,Auction House,Sale Location,Coordinates,Lugt Number
Br-4680,0114[a],OSTADE (Dutch),A woman and child at a window; and a peacock (THIS LOT:  A woman and child at a window; lot 114[b] by Anonymous),,Painting,,,Crabtree; from catalog: Crabtree,"Sold, 1.6 pounds for lots 114[a] & 114[b]",Humeman [?]; from catalog: Humeman [?],,,,,,,1836 Nov 26,Christie's,"London, England","51.5074, 0.1278",14504
Br-4645,112,LE NAIN (French),"Interior of an apartment, with a woman nursing a child, and figures at a fire in the background",,Painting,,,"Stowell, Lord; from catalog: Right Hon Lord Stowell","Sold, 24.13 pounds",Woodin; from catalog: Woodin,,,,,,,1836 Jul 02,Christie's,"London, England","51.5074, 0.1278",14418
Br-4642,55,"ROSA, SALVATOR (Italian)","A romantic landscape, with a ruined bridge over a river, on the rocky bank of which are figures angling, and a woman washing linen; the attestation of the professors of the Florence Gallery accompanies the picture",,Painting,,,"Fitzharris, Lord; from catalog: Ld Fitzharris","Sold, 15.15 pounds","Shedden, S.; from catalog: Sheddon",,,,,,,1836 Jun 25,Christie's,"London, England","51.5074, 0.1278",14412
Br-4624,48,"POELENBURGH, CORNELIS VAN (Dutch)",Christ and the woman of Samaria,,Painting,,,,"Bought In, 4.4 pounds",,,,,,,,1836 Jun 08,Christie's,"London, England","51.5074, 0.1278",14387
Br-4682,43,"GIORDANO, LUCA (Italian)",Head of an old woman,,Painting,,,"Faulkner, Lady; from catalog: Lady Faulkner","Bought In, 0.16 pounds",,,,,,,,1836 Dec 03,Christie's,"London, England","51.5074, 0.1278",14511
Br-4642,29,VERONESE (PAOLO CALIARI) (Italian),Christ with the Canaanitish woman,,Painting,,,Jandain; from catalog: Jandain,"Sold, 5.10 pounds","Shedden, S.; from catalog: Sheddon",,,,,,,1836 Jun 25,Christie's,"London, England","51.5074, 0.1278",14412
Br-4636,49,"DOU, GERARD (Dutch)","An Old Woman at an arched window, holding in her hand a reel for winding thread",,Painting,,1653 (dated?),"Bagot, Charles, Sir; from catalog: Right Honourable Sir Charles Bagot GCB","Sold, 205.16 pounds","Fuller or Brondgeest, Albertus; Brondgeest, Albertus or Fuller; from catalog: </>Fuller [or] Brondgeest",It is unclear whether the date is inscribed on the painting.,,,,,"Amsterdam, Nederland. Rijksmuseum (C127)",1836 Jun 18,Christie's,"London, England","51.5074, 0.1278",14401
Br-4635,1,"MAES, NICOLAES (Dutch)",A Woman consulting a Physician -- interior,,Painting,,,"Keene, William J.; from catalog: [Keene]","Sold, 3.18 pounds",Gritten; from catalog: Gritten,,,,,,,1836 Jun 17,Christie's,"London, England","51.5074, 0.1278",14400
Br-4627,33,"BEECHEY, WILLIAM (Dutch), copy by","Portrait of an old woman, after Rembrandt [Copies by Sir William Beechey] (copy by W. Beechey after Rembrandt)",,Painting,,,"Beechey, William; from catalog: Sir William Beechey RA","Sold, 1.10 pounds",Vines; from catalog: Vines,The bracketed information in the title appears above lot 26 and refers to lots 26 to 33a[H].,,,,,,1836 Jun 09 - 1836 Jun 11 (This Lot: Jun 11),Christie's,"London, England","51.5074, 0.1278",14390
Br-4627,30,"BEECHEY, WILLIAM (British), copy by","The woman of Samaria, after Rembrandt [Copies by Sir William Beechey] (copy by W. Beechey after Rembrandt)",,Painting,,,"Beechey, William; from catalog: Sir William Beechey RA","Bought In, 1.1 pounds",,The bracketed information in the title appears above lot 26 and refers to lots 26 to 33a[H].,,,,,,1836 Jun 09 - 1836 Jun 11 (This Lot: Jun 11),Christie's,"London, England","51.5074, 0.1278",14390
Br-4645,6,OSTADE (Dutch),"Interior, with a woman and child, and a chymist at a laboratory in the background",,Painting,,,White Feddens [?]; from catalog: White Feddens [?],"Bought In, 0.16 pounds",,,,,,,,1836 Jul 02,Christie's,"London, England","51.5074, 0.1278",14418
Br-4642,94,"GAROFALO, BENVENUTO TISI DA (Italian)",Christ with the Woman of Samaria at the Well; the figures drawn with great dignity and beauty,,Painting,,,"Hill, Philip; from catalog: P Hill","Bought In, 102 Gs",,,,,,,,1836 Jun 25,Christie's,"London, England","51.5074, 0.1278",14412
Br-4642,92,"DOU, GERARD (Dutch)","An interior, with a woman paring turnips; highly finished",,Painting,,,"Hill, Philip; from catalog: P Hill","Sold, 19.8 pounds",Jones; from catalog: Jones,,,,,,,1836 Jun 25,Christie's,"London, England","51.5074, 0.1278",14412
Br-5084,58,"SCHALCKEN, GODFRIED (Dutch)",An old woman with a candle,,Painting,,,"Buckingham, D. of; from catalog: D of Buckingham","Sold, 1.0 £ for lots 57 & 58","Rodd, Horatio; from catalog: Rodd",This lot was sold with lot 57 by Vanloo.,,,,,,1839 Dec 06,Christie's,"London, England","51.5074, 0.1278",15580
Br-5082,107,[ANONYMOUS] (Unknown),"A fruit-piece, and a woman smoking",,Painting,,,"Buckingham, D of; from catalog: D of Buckingham","Sold, 0.18 £",Edwards; from catalog: Edwards,,,,,,,1839 Nov 29 - 1839 Nov 30 (This Lot: Nov 30),Christie's,"London, England","51.5074, 0.1278",15572
Br-5082,120,"DOU, GERARD (Dutch)","Head of an old woman, and two figures, interior -- candlelight",,Painting,,,"Buckingham, D of; from catalog: D of Buckingham","Sold, 1.2 £ for lots 120 & 121",Foster; from catalog: Foster,This lot was sold with lot 121.,,,,,,1839 Nov 29 - 1839 Nov 30 (This Lot: Nov 30),Christie's,"London, England","51.5074, 0.1278",15572
Br-5062,34,"ANGELLIS, PIETER VAN (Flemish), changed to Wyck, T.","Interior of a Laboratory, with a woman consulting a physician, who is seated with pupils at a table -- and the companion; exquisitely finished",,Painting,,,"Oxenden, Sir Henry, Bart.; from catalog: Sir Henry Oxenden, Bart.","Sold, 21.0 £",Hook; from catalog: Hook,The artist's name was changed by hand from Angelis to Wych in the CL copy of the catalogue.,,,,,,1839 Jul 06,Christie's,"London, England","51.5074, 0.1278",15507
Br-5058,10,De Witte,An old woman,,Painting,,,La Beaume; from catalog: La Beaume,"Bought In, 1.1 £",,,,,,,,1839 Jun 29,Christie's,"London, England","51.5074, 0.1278",15501
Br-5061,35,"VELDE, ADRIAEN VAN DE (Dutch)","A Woman Milking a Cow, in a Landscape",,Painting,,1671 (dated?),"Coesvelt, William Gordon (II); from catalog: William G. Coesvelt, Jun., Esq.","Sold, 8.18 £",Gritten; from catalog: Gritten,It is unclear whether the date is inscribed on the painting.,,,,,,1839 Jul 05,Christie's,"London, England","51.5074, 0.1278",15505
Br-5058,69,"BRAMER, LEONARD (Dutch)","Interior, with a man playing the violin, and a woman singing",,Painting,,,Moore; from catalog: Moore B. Str,"Bought In, 1.10 £",,,,,,,,1839 Jun 29,Christie's,"London, England","51.5074, 0.1278",15501
Br-5061,104,"GAROFALO, BENVENUTO TISI DA (Italian)",Christ with the Woman of Samaria,,Painting,,,"Coesvelt, William Gordon (II); from catalog: William G. Coesvelt, Jun., Esq.",Withdrawn,,,,,,,,1839 Jul 05,Christie's,"London, England","51.5074, 0.1278",15505
Br-5061,110,"DUJARDIN, KAREL (Dutch)","A Woman Milking, and another with Yokes, and Sheep reposing",,Painting,,1647 (dated?),"Coesvelt, William Gordon (II); from catalog: William G. Coesvelt, Jun., Esq.","Sold, 12.12 £",Fuller; from catalog: Fuller,It is unclear whether the date is inscribed on the painting.,,,,,,1839 Jul 05,Christie's,"London, England","51.5074, 0.1278",15505
Br-5055,136,"LIEVENS, JAN (I) (Dutch)",Head of an old woman,,Painting,,,"Forbes, James; from catalog: James Forbes, Esq.","Sold, 4.10 £",Wells; from catalog: Wells,,,,,,,1839 Jun 25,Christie's,"London, England","51.5074, 0.1278",15497
Br-5053,35,"FETTI, DOMENICO (Italian)",A woman with a fowl in a basket,,Painting,,,"Hawley, Sir J.; from catalog: Sir J. Hawley","Bought In, 6.0 £",,,,,,,,1839 Jun 22,Christie's,"London, England","51.5074, 0.1278",15495
Br-5053,45,"MONI, LOUIS DE (Dutch)","A woman feeding a child with soup near a window, a boy with pancackes behind her",,Painting,,,"Hawley, Sir J.; from catalog: Sir J. Hawley","Bought In, 8.18 £",,,,,,,,1839 Jun 22,Christie's,"London, England","51.5074, 0.1278",15495
Br-5053,52,"DOU, GERARD (Dutch)","An old woman with fish, vegetables, and utensils, at a wondow",,Painting,,,"Hawley, Sir J.; from catalog: Sir J. Hawley","Sold, 21.10 £",Edwards; from catalog: Edwards,,,,,,,1839 Jun 22,Christie's,"London, England","51.5074, 0.1278",15495
Br-5055,162,GUERCINO (GIOVANNI FRANCESCO BARBIERI) (Italian),Christ conversing with the Samaritan woman; full of beautiful character,,Painting,,,"Forbes, James; from catalog: James Forbes, Esq.","Sold, 54.12 £",Johnson; from catalog: Johnson,,,,,,,1839 Jun 25,Christie's,"London, England","51.5074, 0.1278",15497
Br-5053,91,"DOU, GERARD (Dutch)","A water-doctor with a brass basin at a sculptured window, over which is thrown a rich drapery; a woman standing near a window behind hom",,Painting,,,"Hawley, Sir J.; from catalog: Sir J. Hawley","Bought In, 53.11 £",,,,,,,,1839 Jun 22,Christie's,"London, England","51.5074, 0.1278",15495
Br-5049,85,"POTTER, PAULUS (Dutch)","Cows on the bank of a river, with a woman emptying a pail",,Painting,,,"Wright, Francis; from catalog: Wright of Edinburgh","Bought In, 8.18 £",,,,,,,,1839 Jun 15,Christie's,"London, England","51.5074, 0.1278",15489
Br-4733,34,"[DUTCH - MODERN] (Dutch), changed to Chardin","Interior, with an old woman knitting; highly finished",,Painting,,,"Freeling, Francis, Sir, 1st Bart.; from catalog: Sir Francis Freeling Bart","Sold, 5.0 pounds",Norton; from catalog: Norton,The artist's name was changed by hand from Modern Dutch to Chardin in the CL copy of the catalogue.,,,,,,1837 Apr 15,Christie's,"London, England","51.5074, 0.1278",14668
Br-5047,115,"VOIS, ARY DE (Dutch)",A woman with a dog; small,,Painting,,,Brown; from catalog: Brown,"Bought In, 2.10 £",,,,,,,,1839 Jun 14,Christie's,"London, England","51.5074, 0.1278",15487
Br-5045,2,"TOL, DOMENICUS VAN (Dutch)",An Old Woman at a window watering flowers,,Painting,,,"Keene, William J.; from catalog: William J. Keene, Esq.","Sold, 2.2 £",Fuller; from catalog: Fuller,,,,,,,1839 Jun 08,Christie's,"London, England","51.5074, 0.1278",15483
Br-5045,13,"NOGARI, GIUSEPPE (Italian)",Portrait of an Old Woman,,Painting,,,"Keene, William J.; from catalog: William J. Keene, Esq.","Bought In, 2.6 £",,,,,,,,1839 Jun 08,Christie's,"London, England","51.5074, 0.1278",15483
Br-5045,18,"BROUWER, ADRIAEN (Flemish)","Interior, with a Dutch family, and a woman frying pancakes",,Painting,,,"Keene, William J.; from catalog: William J. Keene, Esq.","Bought In, 6.10 £",,,,,,,,1839 Jun 08,Christie's,"London, England","51.5074, 0.1278",15483
Br-5045,22,"MAES, NICOLAES (Dutch)","Interior, with a woman plucking a duck",,Painting,,,,"Sold, 6.6 £",Norton; from catalog: Norton,,,,,,,1839 Jun 08,Christie's,"London, England","51.5074, 0.1278",15483
Br-5045,66,"DIETRICH, CHRISTIAN WILHELM ERNST (German)","Christ with the Woman of Samaria: a capital work, in the manner of Rembrandt",,Painting,,,"Keene, William J.; from catalog: William J. Keene, Esq.","Sold, 3.10 £","Hunter, Sir R.; from catalog: Sir R. Hunter",,,,,,,1839 Jun 08,Christie's,"London, England","51.5074, 0.1278",15483
Br-5044,5,"SLINGELAND, PIETER CORNELISZ. VAN (Dutch)","Interior, with a woman cleaning fish",,Painting,,,Van de Velde; from catalog: Monsieur Van de Velde of Antwerp,"Sold, 1.13 £",Fuller; from catalog: Fuller,,,,,,,1839 Jun 07,Christie's,"London, England","51.5074, 0.1278",15482
Br-5044,59,"SLINGELAND, PIETER CORNELISZ. VAN (Dutch)","Interior, with a woman seated near a spindle, dead birds and utensils on a table beside her",,Painting,,,Van de Velde; from catalog: Monsieur Van de Velde of Antwerp,"Sold, 8.15 £",Byard; from catalog: Byard,,,,,,,1839 Jun 07,Christie's,"London, England","51.5074, 0.1278",15482
Br-5035,159,"FRASER, ALEXANDER (I) (British)",A fish-woman seated before a cottage near the sea-shore,,Painting,,,Pool; from catalog: Pool,"Sold, 5.10 £",Roake; from catalog: Roake,,,,,,,1839 May 27,Christie's,"London, England","51.5074, 0.1278",15463
Br-5032,48,"TENIERS, DAVID (THE YOUNGER) (Flemish)","A Peasant in Conversation with a woman milking a cow, in a landscape",,Painting,,,"Baille, David; from catalog: David Baille, Esq.","Sold, 137.11 £",Edwards; from catalog: Edwards,,,1829/05/02 LOPH 0145 |X Br-3272,,,"Frankfurt, Deutschland. Staedelsches Kunstinstitut (1108)",1839 May 25,Christie's,"London, England","51.5074, 0.1278",15462
Br-5030,25,"DUSART, CORNELIS (Dutch)","Interior, with a woman and a boy listening to a hurdy-gurdy player",,Painting,,,Turner [of Gloster [?]]; from catalog: Turner of Gloster [?],"Bought In, 5.2 £",,,,,,,,1839 May 24,Christie's,"London, England","51.5074, 0.1278",15458
Br-5024,81,"NOGARI, GIUSEPPE (Italian)",Head of an old woman,,Painting,,,Vendramini; from catalog: Signor Vendramini,"Sold, 4.8 £",Edwards; from catalog: Edwards,,,,,,,1839 May 11,Christie's,"London, England","51.5074, 0.1278",15440
Br-5021,10,"TENIERS, DAVID (THE YOUNGER) (Flemish)","Interior, with a man and a woman smoking",,Painting,,,"Milnes, K; from catalog: K. Milnes","Sold, 5","Hickman, John; from catalog: Hickman",,,,,,,1839 May 04,Christie's,"London, England","51.5074, 0.1278",15430
Br-5021,24,"FLORIS, FRANS (I) (Netherlandish)",The woman taken in adultery,,Painting,,,Katterback; from catalog: Katterback,"Bought In, 5.5 £",,,,,,,,1839 May 04,Christie's,"London, England","51.5074, 0.1278",15430
Br-5021,51,VALENTIN DE BOULOGNE (French),A woman lighting an incense-burner,,Painting,,,Katterback; from catalog: Katterback,"Bought In, 2.0 £",,,,,,,,1839 May 04,Christie's,"London, England","51.5074, 0.1278",15430
Br-5021,70,"BRAKENBURG, RICHARD (Dutch)","Interior, with a woman eating soup, and other figures",,Painting,,,Coxe; from catalog: Cox,"Sold, 3.3 £",Nottingham; from catalog: Nottingham,,,,,,,1839 May 04,Christie's,"London, England","51.5074, 0.1278",15430
Br-5021,108,REMBRANDT HARMENSZ. VAN RIJN (Dutch),An old woman in a turban,,Painting,,,Markes; from catalog: Markes,"Bought In, 1.9 £",,,,,,,,1839 May 04,Christie's,"London, England","51.5074, 0.1278",15430
Br-5015,19,"DÜRER, ALBRECHT (German)","Portrait of an Old Woman, supposed to be the Wife of his Master, A. Wohlgemuth; small",,Painting,on panel,,"Aders, Charles; from catalog: [Charles Aders]","Sold, 3.0 £",Robinson; from catalog: Robinson,,,,,,,1839 Apr 26,Christie's,"London, England","51.5074, 0.1278",15410
Br-5018,4,ROOS (German or Italian),A landscape: and a woman milking goats -- Solmacker,,Painting,,1695 (dated?),Varnish B; from catalog: Varnish B,"Sold, 1.9 £",Waters; from catalog: Waters,It is uncertain whether the date is inscribed on the painting.,,,,,,1839 Apr 27,Christie's,"London, England","51.5074, 0.1278",15412
Br-5030,54,"BIRD, EDWARD (British)","An interior, with an old woman, and children blowing bubbles",,Painting,,,"Ludlow, Mr Sergeant; from catalog: Mr Sergeant Ludlow","Bought In, 5.5 £",,,,,,,,1839 May 24,Christie's,"London, England","51.5074, 0.1278",15458
Br-5018,100,"BREKELENCAM, QUIRINGH GERRITSZ. VAN (Dutch)","Interior, with an old man in conversation with a woman seated before a spindle, a boy drawing beer from a cask; exquisitely finished",,Painting,,,Durlacher; from catalog: Dularcher,"Sold, 26.5 £",Nieuwenhuys; from catalog: Nieuwenhuys,,,,,,,1839 Apr 27,Christie's,"London, England","51.5074, 0.1278",15412
Br-5018,105,"SCHALCKEN, GODFRIED (Dutch)","The money-changer: an old man richly dressed is seated mending a pen, a woman taking abag of money off the table; a beautiful specimen",,Painting,,,Durlacher; from catalog: Dularcher,"Bought In, 21.0 £",,,,,,,,1839 Apr 27,Christie's,"London, England","51.5074, 0.1278",15412
Br-5015,4,"BREKELENCAM, QUIRINGH GERRITSZ. VAN (Dutch)","Interior, with an Old Man and Woman spinning and reading",,Painting,,,"Aders, Charles; from catalog: [Charles Aders]","Sold, 2.2 £",Barry; from catalog: Barry,,,,,,,1839 Apr 26,Christie's,"London, England","51.5074, 0.1278",15410
Br-5011,19,OSTADE (Dutch),"A Courtship:  a Boor, with a Pipe in his hand, leaning on table, and a Woman, with a glass and pitcher; a work of very high quality -- circular",,Painting,circle,,"Stewart, James; from catalog: James Stewart Esq.","Bought In, 231/2",,,,,,,,1839 Apr 20,Christie's,"London, England","51.5074, 0.1278",15394
Br-5011,47,"TENIERS, DAVID (THE YOUNGER) (Flemish)","A Man playing the Guitar, and an old Woman, with a jug and a glass of liquor, is waiting to present it to him; a capital specimen of the master.",,Painting,,,"Stewart, James; from catalog: James Stewart Esq.","Sold, 37.16 £",Lake; from catalog: Lake,,,,,,,1839 Apr 20,Christie's,"London, England","51.5074, 0.1278",15394
Br-5011,60,"STEEN, JAN (Dutch)","The Bed-Chamber of the Artist; he is lying in his jacket; his wife in a white boddice, standing on a chair, has stepped upon the bed to raise the curtains; a fine specimen of the highest quality, and manifestly painted as a companion to the Woman putting on her Stockings, in the Royal Collection.",,Painting,,,"Stewart, James; from catalog: James Stewart Esq.","Sold, 99.15 £",Farrer; from catalog: Farrer,,,,,,,1839 Apr 20,Christie's,"London, England","51.5074, 0.1278",15394
Br-5005,11,"BLAKE, BENJAMIN (British)","A kitchen, with a woman nursing a child",,Painting,,,"Archbutt, Samuel; from catalog: Samuel Archbutt, Esq.","Sold, 4.0 £",Pennell; from catalog: Pennell,,,,,,,1839 Apr 13,Christie's,"London, England","51.5074, 0.1278",15376
Br-5005,47,"WHEATLEY, FRANCIS (British)","A woman giving milk to a beggar, in a landscape",,Painting,,,"Archbutt, Samuel; from catalog: Samuel Archbutt, Esq.","Sold, 6.10 £",Pennell; from catalog: Pennell,,,,,,,1839 Apr 13,Christie's,"London, England","51.5074, 0.1278",15376
Br-5005,78,"OPIE, JOHN (British)",An old woman reading her Bible; coloured with powerful effect,,Painting,,,"Archbutt, Samuel; from catalog: Samuel Archbutt, Esq.","Bought In, 4.14 £",,,,,,,,1839 Apr 13,Christie's,"London, England","51.5074, 0.1278",15376
Br-5005,84,"MORLAND, GEORGE (British)",A woman in conversation with a man at a pump,,Painting,,,"Archbutt, Samuel; from catalog: Samuel Archbutt, Esq.","Sold, 22.1 £",Corbett; from catalog: Corbett,,,,,,,1839 Apr 13,Christie's,"London, England","51.5074, 0.1278",15376
Br-5004,14,"DOU, GERARD (Dutch), copy after","A man and woman, with fish at a sculptured window",,Painting,,,Fryer; from catalog: Fryer,"Bought In, 1.0 £",,,,,,,,1839 Apr 12,Christie's,"London, England","51.5074, 0.1278",15375
Br-5005,109,"BONINGTON, RICHARD PARKES (British)","An upright landscape, with a woman on a grey horse in conversation with a figure (companion to lot 110)",,Painting,upright,1826 (dated?),"Archbutt, Samuel; from catalog: Samuel Archbutt, Esq.","Bought In, 18.7 £",,It is uncertain whether the date is inscribed on the painting.,,,,,,1839 Apr 13,Christie's,"London, England","51.5074, 0.1278",15376
Br-5004,91,"SCHALCKEN, GODFRIED (Dutch)","A woman threatening a girl, who has broken a chaufrette; a capital picture, very highly finished",,Painting,,,Goldsmid; from catalog: Goldsmid,"Bought In, 20.9 £",,,,,,,,1839 Apr 12,Christie's,"London, England","51.5074, 0.1278",15375
Br-4985,11,"RYCKAERT, DAVID (III) (Flemish)","Interior, with a woman washing linen, and other figures",,Painting,,,"Sanford, John, Rev.; from catalog: Rev. John Sanford","Sold, 7.10 £","Vivian, Sir Hupey; from catalog: Sir Hupey [?] Vivian",The artist's name is given as R. Ryckaert but we have assumed this is an error.,,,,,,1839 Mar 09,Christie's,"London, England","51.5074, 0.1278",15314
Br-4997,34,WOUWERMAN (Dutch),"A man putting a collar on a grey horse, a woman and child seated near him",,Painting,,,"Brickwood, J. Strettell; from catalog: J Strettell Brickwood, Esq","Sold, 5.0 £",Ratclyffe; from catalog: Ratclyffe,,,,,,,1839 Mar 23,Christie's,"London, England","51.5074, 0.1278",15345
Br-4985,85,SIMONE MARTINI (Italian),The woman taken in adultery; an interesting specimen painted on gold ground,,Painting,,,"Sanford, John, Rev.; from catalog: Rev. John Sanford","Sold, 3.15 £","Hickman, John; from catalog: Hickman",,,,,,,1839 Mar 09,Christie's,"London, England","51.5074, 0.1278",15314
Br-4981,26,"HEAD, GUY (British), copy by",The woman taken in adultery; a capital copy from the celebrated Rubens (copy by G. Head after Rubens),,Painting,,,Riddle (Greenwich Hospital); from catalog: Riddle Greenwich Hospital,"Bought In, 14.3 £",,,,,,,,1839 Mar 02,Christie's,"London, England","51.5074, 0.1278",15307
Br-4980,13,"TENIERS, DAVID (THE YOUNGER) (Flemish)","A Dutch Farm, with numerous Figures, and a Woman drawing water at a well; a Man is driving Sheep on the high ground",,Painting,,,"Nicholls, George; from catalog: George Nicholls, Esq","Sold, 11.0 £",Walsh; from catalog: Walsh,,,,,,,1839 Mar 02,Christie's,"London, England","51.5074, 0.1278",15306
Br-4979,24,"BROUWER, ADRIAEN (Flemish)","Interior, with a man asleep, and a woman and child",,Painting,,,Weaver; from catalog: Weaver,"Sold, 3.5 £",Davis; from catalog: Davis,,,,,,,1839 Mar 01,Christie's,"London, England","51.5074, 0.1278",15304
Br-4979,0082[a],"MAES, NICOLAES (Dutch)","Interior, with a woman frying pancakes, and a calm (THIS LOT : Interior, with a woman frying pancakes ; lot 82[b] by Anonymous)",,Painting,,,White (Richard & John); from catalog: M M White Mark Lane,"Bought In, 1.7 £ for lots 82[a] & 82[b]",,,,,,,,1839 Mar 01,Christie's,"London, England","51.5074, 0.1278",15304
Br-4734,97,"GREUZE, JEAN BAPTISTE (French)","An old woman making omelets, with a charcoal fire before her",,Painting,,,"Slater, John; from catalog: John Slater Esq deceased","Sold, 4.8 pounds",Hodgson; from catalog: Hodgson,,,,,,,1837 Apr 22,Christie's,"London, England","51.5074, 0.1278",14677
Br-4734,75,"STRIJ, JACOB VAN (Dutch)","Interior of an apartment, with a woman and a child with vegetables and utensils near a door, from which a gleam of sunshine admirably lights up the picture, a garden court seen through an open door in the background; a capital specimen",,Painting,,,"Slater, John; from catalog: John Slater Esq deceased","Sold, 16.5 pounds",Bray (William) and Warren (Augustus); from catalog: Bray,,,,,,,1837 Apr 22,Christie's,"London, England","51.5074, 0.1278",14677
Br-4734,52,"KIDD, WILLIAM (British)",A Scotch peasant and a woman -- interior,,Painting,,,"Slater, John; from catalog: John Slater Esq deceased","Sold, 1.15 pounds",White; from catalog: White,,,,,,,1837 Apr 22,Christie's,"London, England","51.5074, 0.1278",14677
Br-4734,49,"KIDD, WILLIAM (British)","Interior, with an old woman reading, with two other figures",,Painting,,,"Slater, John; from catalog: John Slater Esq deceased","Sold, 1.9 pounds",Fuller; from catalog: Fuller,,,,,,,1837 Apr 22,Christie's,"London, England","51.5074, 0.1278",14677
Br-4734,48,"GOOD, THOMAS SWORD (British)",An old woman in a black cloak resting on a stick; clever effect of light.  From Lord Carysfort's Collection,,Painting,,,"Slater, John; from catalog: John Slater Esq deceased","Sold, 8.5 pounds",White; from catalog: White,,"Carysfort, Lord (from Catalogue: Lord Carysfort)",,,,,1837 Apr 22,Christie's,"London, England","51.5074, 0.1278",14677
Br-4734,22,"KIDD, WILLIAM (British)","A fishmonger's shop, with a woman watering fish",,Painting,,,"Slater, John; from catalog: John Slater Esq deceased","Sold, 3.10 pounds","Smith, C.; from catalog: C Smith",,,,,,,1837 Apr 22,Christie's,"London, England","51.5074, 0.1278",14677
Br-4732,54,"IBBETSON, JULIUS CAESAR (British)","Travelling peasants with loaded asses, and a woman begging of a horsemen in the distance -- the companion (companion to lot 53)",,Painting,,,,"Sold, 16.5 pounds",Moore; from catalog: Moore,,,,,,,1837 Apr 14,Christie's,"London, England","51.5074, 0.1278",14667
Br-4732,24,"BLAKE, BENJAMIN (British), changed to Fraser, Alex. (I)","An interior with a woman, and fish, and vegetables",,Painting,,,,"Sold, 1.14 pounds for lots 23 & 24",Edwards; from catalog: Edwards,This lot was sold with lot 23 by Hamilton.  The artist's name was changed by hand from Blake to Fraser in the CL copy of the catalogue.,,,,,,1837 Apr 14,Christie's,"London, England","51.5074, 0.1278",14667
Br-4732,9,"BIRD, EDWARD (British)","Interior, with an old woman and children blowing bubbles",,Painting,,,,"Bought In, 13.13 pounds",,,,,,,,1837 Apr 14,Christie's,"London, England","51.5074, 0.1278",14667
Br-4732,1,"[ANONYMOUS] (Unknown), changed to Bird, Edw.","An old woman in a cottage, reading",,Painting,,,,"Sold, 1.3 pounds",Taunton [or] Townton; from catalog: Taunton [or] Townton,The artist's name Bird was added in by hand in the CL copy of the catalogue.,,,,,,1837 Apr 14,Christie's,"London, England","51.5074, 0.1278",14667
Br-4738,56,"VICTORS, JAN (Dutch), changed to Maes, N.","A Woman Selling Poultry to a female servant, and a man with a basket of vegetables, a river in the distance; admirably painted",,Painting,,,Norton [?]; from catalog: [Norton],"Bought In, 60 Gs",,The artist's name was changed by hand from Victoor to Maas in the CL copy of the catalogue.,,,,,,1837 Apr 28 - 1837 Apr 29 (This Lot: Apr 28),Christie's,"London, England","51.5074, 0.1278",14689
Br-4738,48,"METSU, GABRIEL (Dutch)","A Woman cleaning a metal pot at a window, a vine spreading its branches along the masonry",,Painting,,,Norton [?]; from catalog: [Norton],"Bought In, 31.10 pounds",,,,,,,,1837 Apr 28 - 1837 Apr 29 (This Lot: Apr 28),Christie's,"London, England","51.5074, 0.1278",14689
Br-4976,7,"RYCKAERT, DAVID (III) (Flemish)","Interior, with a physician and a woman",,Painting,,,Corley; from catalog: Corley,"Sold, 1",Day; from catalog: Day,,,,,,,1839 Feb 22,Christie's,"London, England","51.5074, 0.1278",15293
Br-4976,33,"WHEATLEY, FRANCIS (British)",A market-woman,,Painting,,,Corley; from catalog: Corley,"Sold, 0.14 £",Money; from catalog: Money,,,,,,,1839 Feb 22,Christie's,"London, England","51.5074, 0.1278",15293
Br-4976,52,"DOU, GERARD (Dutch)","Interior, with an old man lighting a pipe, and a woman playing the guitar",,Painting,,,Corley; from catalog: Corley,"Bought In, 2.10 £",,,,,,,,1839 Feb 22,Christie's,"London, England","51.5074, 0.1278",15293
Br-4848,96,PIETRO DA CORTONA (Italian),Christ and the Canaanitish Woman,,Painting,,,"Maund, W. Herbert; from catalog: W Herbert Maund Esq","Sold, 12.10 pounds",Prowett; from catalog: Prowett,,,,,,,1838 Feb 17,Christie's,"London, England","51.5074, 0.1278",14941
Br-4843,50,"DENNER, BALTHASAR (German)",An old woman with a lace-cushion; admirably painted,,Painting,,,"Sharp, Robert C.; from catalog: Robert C Sharp Esq","Bought In, 20 1/2",,,,,,,,1838 Feb 10,Christie's,"London, England","51.5074, 0.1278",14929
Br-4685,0004[a],"WARD, JAMES (British)","Whitbread's Brewery; Lambeth; and the Adelphi, by D. Turner; and a fish-woman (THIS LOT:  Whitbread's Brewery; lots 4[b] by Anonymous & 4[c] by D. Turner)",,Painting,,,"Pepys, Edward; from catalog: Edward Pepys Esq","Sold, 1.9 pounds for lots 4[a-c]",Fuller; from catalog: Fuller,,,,,,,1836 Dec 10,Christie's,"London, England","51.5074, 0.1278",14518
